#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 10:44:25
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2023-01-18 10:44:25 94.73.170.75 HEAD / - 80 - 144.168.158.105 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_15_7)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/107.0.0.0+Safari/537.36 - krsstand.com.tr:80 200 0 0 345 257 430
2023-01-18 10:44:26 94.73.170.75 GET / - 80 - 18.215.172.175 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_15_7)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/107.0.0.0+Safari/537.36 - krsstand.com.tr 200 0 0 7104 231 379
2023-01-18 10:44:28 94.73.170.75 GET /img/favicon.png - 80 - 54.208.112.218 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_15_7)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/107.0.0.0+Safari/537.36 - krsstand.com.tr 404 0 2 12790 246 301
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2023-01-18 11:58:22
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2023-01-18 11:58:21 94.73.170.75 GET /wp-load.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 350 183
2023-01-18 11:58:55 94.73.170.75 GET /style.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 348 44
2023-01-18 11:58:55 94.73.170.75 GET /wp-admin/style.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 357 208
2023-01-18 11:59:22 94.73.170.75 GET /s_e.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 346 218
2023-01-18 11:59:49 94.73.170.75 GET /s_ne.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 347 138
2023-01-18 12:01:24 94.73.170.75 GET /1index.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 451 201
2023-01-18 12:01:43 94.73.170.75 GET /radio.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 348 139
2023-01-18 12:02:16 94.73.170.75 GET /doc.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 346 205
2023-01-18 12:02:56 94.73.170.75 GET /wp_wrong_datlib.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 460 190
2023-01-18 12:03:13 94.73.170.75 GET /beence.php - 80 - 40.91.198.84 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/90.0.4430.85+Safari/537.36 www.bing.com krsstand.com.tr 404 0 2 12771 451 102
2023-01-18 12:03:19 94.73.170.75 GET /ups.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 346 247
2023-01-18 12:03:24 94.73.170.75 GET /wp-signin.php dizo&ping 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 362 249
2023-01-18 12:05:17 94.73.170.75 GET /media-admin.php - 80 - 40.91.198.84 HTTP/1.1 wp_is_mobile www.bing.com krsstand.com.tr 404 0 2 12771 354 136
